id,phase,size,sync_component,diac_component,lineage_size,meta,source,target,x,y,z
81_2015,2015,10,0,11,3.8884564509564505,NA,193|&|38|&|355|&|696|&|414|&|229|&|735|&|720|&|265|&|537,1370|&|1316|&|700|&|328|&|1558|&|1206|&|1363|&|1187|&|633|&|896|&|1084|&|799|&|412|&|517|&|228|&|556|&|190|&|350|&|242|&|1404|&|427|&|666|&|969|&|917|&|1322|&|891|&|1000|&|1226|&|668|&|829|&|960|&|1241|&|798|&|1340|&|657|&|1504|&|688|&|780|&|1343|&|566|&|155|&|1024|&|1495|&|1228|&|154|&|590|&|749|&|624|&|773|&|3|&|325|&|853|&|1405|&|393|&|1491|&|1235|&|221|&|841|&|1406|&|618|&|1202|&|585|&|1068|&|232|&|824|&|439|&|1086|&|1210|&|661,-3.2111442,2.756525,3.0874166
139_2007,2007,10,0,-1,4.274545454545454,NA,181|&|543|&|155|&|102|&|768|&|269|&|749|&|614|&|714|&|18,840|&|1203|&|692|&|896|&|693|&|1098|&|339|&|1217|&|1154|&|1452|&|275|&|814|&|100|&|3|&|793|&|441|&|1142|&|832|&|1282,1.3018675,-0.8336751,-1.28572
62_2009,2009,12,0,-1,1.2132822477650063,NA,622|&|499|&|409|&|157|&|693|&|253|&|165|&|341|&|198|&|534|&|509|&|448,1594|&|282|&|1254|&|1000|&|807|&|341|&|12|&|198|&|410,-2.561921,-0.038065307,2.544998
114_2003,2003,4,0,0,0.8,NA,108|&|104|&|481|&|400,381|&|640|&|1175|&|1466|&|1564|&|40|&|1247|&|290|&|804|&|781|&|147|&|519|&|1540,3.31049,1.3000689,-3.3740776
170_2013,2013,16,0,-1,3.234608469487502,NA,476|&|680|&|458|&|451|&|555|&|302|&|358|&|111|&|418|&|377|&|623|&|359|&|100|&|388|&|605|&|316,95|&|390|&|886|&|1179|&|1158|&|530|&|562|&|957|&|53|&|137|&|1321|&|79|&|1263|&|24|&|674|&|431,-2.9801254,-2.537261,3.0579946
70_2015,2015,18,0,-1,5.262597382836275,NA,640|&|643|&|207|&|646|&|516|&|34|&|396|&|334|&|686|&|697|&|401|&|285|&|213|&|532|&|619|&|43|&|208|&|304,1081|&|608|&|785|&|732|&|184|&|1398|&|412|&|1061|&|1591|&|1397|&|1410|&|1226|&|392|&|1474|&|554|&|155|&|319|&|457|&|26|&|1097|&|1221|&|1563|&|1321|&|1335,-5.548334,-1.3922393,5.5807753
40_2003,2003,9,0,3,0,NA,390|&|169|&|238|&|718|&|732|&|440|&|760|&|209|&|753,355|&|678|&|164|&|886|&|710|&|209|&|1045,3.1775365,-2.3941708,-3.1006536
58_2003,2003,15,0,-1,0.5757575757575758,NA,402|&|148|&|231|&|194|&|676|&|723|&|459|&|654|&|589|&|507|&|105|&|755|&|664|&|502|&|65,867|&|1336|&|1256|&|800|&|366|&|410|&|479|&|648,2.1332784,-0.9161467,-2.1133907
181_2015,2015,26,0,12,3.8948768325611414,NA,645|&|328|&|183|&|366|&|564|&|305|&|650|&|693|&|234|&|382|&|379|&|529|&|195|&|629|&|707|&|196|&|605|&|363|&|284|&|563|&|624|&|542|&|599|&|368|&|244|&|769,813|&|328|&|1363|&|1187|&|919|&|406|&|1595|&|1138|&|1061|&|1528|&|1591|&|312|&|427|&|357|&|516|&|829|&|1213|&|343|&|864|&|392|&|1400|&|1177|&|1480|&|1103|&|319|&|1286|&|534|&|1523|&|1405|&|393|&|1526|&|602|&|975|&|957|&|1360|&|1448,-3.1881602,1.6586998,3.1062212
215_2013,2013,7,0,-1,1.138755980861244,NA,363|&|295|&|170|&|66|&|416|&|136|&|664,230|&|1533|&|1333|&|1518|&|402|&|691|&|90|&|1410|&|249|&|652|&|220|&|1066,-2.9927106,-2.4311678,3.0665338
250_2015,2015,15,0,-1,5.210562730537129,NA,462|&|135|&|460|&|764|&|544|&|483|&|121|&|662|&|98|&|138|&|493|&|146|&|509|&|129|&|17,1302|&|1017|&|612|&|468|&|693|&|1018|&|1404|&|117|&|1150|&|252|&|80|&|1294|&|577|&|1|&|777|&|1598|&|376|&|1130|&|208|&|1125|&|152|&|1465|&|1190|&|49|&|173|&|231|&|290|&|642|&|572|&|1090|&|1170|&|535|&|1099|&|524|&|583|&|1284|&|992|&|963|&|934|&|1589|&|723|&|1543|&|1328|&|53|&|1269|&|456|&|910|&|644|&|1592|&|957|&|520,-6.1547318,-1.5810186,6.1939178
14_1997,1997,11,0,0,0,NA,592|&|451|&|442|&|225|&|639|&|754|&|37|&|373|&|272|&|21|&|312,1332|&|849|&|898|&|1457|&|1582|&|489|&|1231|&|1095,5.392096,-1.9438558,-5.3307447
81_2003,2003,2,0,0,0,NA,730|&|21,1304|&|1466|&|1073|&|40,2.5051925,-0.6203106,-2.4962924
135_2003,2003,14,0,-1,0.4583333333333333,NA,33|&|290|&|149|&|536|&|201|&|347|&|720|&|344|&|315|&|114|&|47|&|604|&|144|&|208,1304|&|1073,3.4380834,-2.519877,-3.356229
23_1997,1997,6,-1,-1,0,NA,164|&|128|&|269|&|477|&|607|&|432,1154|&|1213|&|441,5.2227263,-1.3358754,-5.184631
64_2013,2013,3,0,0,1.7416666666666667,NA,173|&|412|&|717,162|&|942|&|1527|&|1525|&|601|&|1283|&|1509|&|1073|&|1466|&|916|&|1444|&|711|&|1053|&|121|&|1004|&|743|&|957|&|1012|&|1215,-3.230064,-2.5935931,3.3098953
12_2003,2003,2,0,-1,0.9230769230769231,NA,383|&|740,804|&|164|&|886|&|1247|&|290|&|781|&|1046|&|147|&|1304|&|519|&|710|&|1073,4.1568627,-0.41455048,-4.1545963
3_1999,1999,7,-1,-1,0.5714285714285714,NA,478|&|299|&|475|&|510|&|412|&|520|&|208,292|&|1221|&|316,5.3073096,1.4109793,-5.373671
75_2001,2001,6,-1,-1,0.7619047619047619,NA,499|&|82|&|158|&|629|&|348|&|306,362|&|635,5.0538464,-0.79149663,-5.036587
61_2015,2015,16,0,-1,4.682161926555519,NA,552|&|390|&|173|&|521|&|602|&|676|&|256|&|488|&|406|&|154|&|623|&|519|&|683|&|144|&|316|&|753,813|&|812|&|774|&|1499|&|185|&|693|&|1528|&|1018|&|886|&|1397|&|357|&|516|&|1410|&|1021|&|343|&|1360|&|1400|&|208|&|1125|&|1177|&|152|&|1103|&|1104|&|850|&|1111|&|1090|&|1389|&|1284|&|1221|&|1099|&|207|&|1407|&|1526|&|1080|&|948|&|1328|&|717|&|310|&|975|&|710|&|1012|&|1379|&|1413,-4.89011,0.3806727,4.8555684
115_2013,2013,8,0,-1,2.308555399719495,NA,613|&|4|&|118|&|369|&|488|&|506|&|398|&|339,1092|&|566|&|1330|&|59|&|4|&|1053|&|1283|&|1140|&|957|&|382|&|674,-4.0317407,-1.5879447,4.0727267
138_2015,2015,19,0,0,5.247191558441559,NA,472|&|514|&|110|&|440|&|531|&|276|&|1|&|541|&|112|&|419|&|270|&|176|&|137|&|247|&|461|&|441|&|593|&|525|&|44,1370|&|498|&|1399|&|71|&|265|&|1499|&|412|&|1528|&|1404|&|1056|&|1000|&|405|&|1226|&|1598|&|741|&|1258|&|1459|&|1190|&|155|&|1261|&|1048|&|1228|&|773|&|344|&|936|&|1526|&|1311|&|841|&|670|&|1406|&|585|&|1202|&|53|&|1269|&|481|&|975|&|1321|&|533|&|1360|&|1086,-5.8270965,-0.44037724,5.8231173
203_2015,2015,12,0,-1,3.168545936578744,NA,203|&|666|&|566|&|451|&|435|&|565|&|192|&|741|&|12|&|503|&|468|&|410,1302|&|1081|&|700|&|1558|&|785|&|546|&|1349|&|896|&|1499|&|412|&|1161|&|517|&|886|&|1226|&|777|&|1149|&|1469|&|376|&|320|&|657|&|1474|&|1125|&|554|&|455|&|208|&|173|&|687|&|590|&|535|&|26|&|1097|&|3|&|1099|&|853|&|547|&|934|&|260|&|696|&|1328|&|940|&|53|&|1210|&|753,-5.5845714,-0.27674213,5.574542
195_2015,2015,9,0,-1,3.581289081289081,NA,660|&|549|&|67|&|510|&|53|&|190|&|710|&|41|&|515,1335|&|1345|&|633|&|1398|&|799|&|693|&|830|&|556|&|350|&|1413|&|242|&|666|&|708|&|917|&|1322|&|716|&|891|&|577|&|1241|&|526|&|911|&|688|&|780|&|1343|&|231|&|58|&|324|&|1495|&|154|&|624|&|325|&|72|&|1235|&|221|&|232|&|1012|&|1084|&|661,-3.4655893,0.9014783,3.4122627
211_2015,2015,9,0,-1,4.7523086839329665,NA,695|&|721|&|670|&|407|&|467|&|281|&|450|&|376|&|212,1443|&|692|&|896|&|578|&|312|&|271|&|886|&|1410|&|313|&|960|&|1340|&|320|&|719|&|640|&|155|&|1104|&|751|&|3|&|140|&|938|&|1563|&|1175|&|53|&|824|&|1321|&|130|&|870,-6.11706,-0.82707727,6.127585
29_2001,2001,8,0,-1,0.6956521739130435,NA,203|&|20|&|759|&|137|&|606|&|461|&|437|&|3,1560|&|1151,4.913554,-0.4259059,-4.910308
39_1999,1999,5,0,-1,0,NA,120|&|704|&|429|&|533|&|765,736|&|257,4.480306,-2.5276885,-4.3974
84_2015,2015,11,0,-1,1.4168636721828212,NA,95|&|240|&|221|&|496|&|275|&|733|&|417|&|426|&|561|&|127|&|455,700|&|1558|&|896|&|693|&|517|&|1150|&|886|&|252|&|1|&|1130|&|320|&|657|&|208|&|1125|&|719|&|1104|&|590|&|1099|&|3|&|992|&|853|&|723|&|1328|&|53|&|910|&|870|&|1210,-5.65358,-1.048989,5.672884
17_1997,1997,1,0,-1,0,NA,518,1071|&|1231|&|854|&|1332|&|849|&|690|&|1262|&|898|&|1457|&|489|&|206|&|1220|&|243|&|1582|&|1095|&|1323,5.1477914,0.32923457,-5.1731086
30_2003,2003,3,0,-1,0,NA,311|&|581|&|695,355|&|640|&|1175|&|1073|&|1247|&|358|&|147|&|1304|&|734|&|519|&|209|&|1045,1.8732827,-1.5114344,-1.8309329
99_2015,2015,4,0,0,3.795918367346938,NA,758|&|199|&|145|&|186,1443|&|1081|&|785|&|546|&|1349|&|1499|&|412|&|693|&|1528|&|517|&|190|&|578|&|312|&|1404|&|886|&|1397|&|1226|&|1|&|313|&|1149|&|798|&|657|&|208|&|320|&|1125|&|1480|&|155|&|1228|&|687|&|1286|&|590|&|26|&|1099|&|3|&|1221|&|1097|&|853|&|1526|&|1491|&|602|&|696|&|1406|&|1543|&|1068|&|1328|&|53|&|585|&|456|&|910|&|1321|&|439|&|130|&|975|&|1360,-5.4840813,-0.58952546,5.486026
